Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1950   6   80  81  82  83  84  84  85   0   0   0   0   0   0
1951   6   82  82  82  81  80  80  80   0   0   0   0   0   0
1952   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1953   6   78  81  82  82  83  84  83   0   0   0   0   0   0
1954   4  999 999 999 999 999   0   0   0   0
1955   4   81  81  80  80  79   0   0   0   0
1956   4  999 999 999 999 999   0   0   0   0
1957   4   80  77  76  75  74   0   0   0   0
1958   4   72  71  70  69  68   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4   78  78  79  80  81   0   0   0   0
1961   4   73  74  75  75  75   0   0   0   0
1962   4   75  75  76  75  75   0   0   0   0
1963   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4   79  78  77  76  75   0   0   0   0
1966   4   73  73  74  75  76   0   0   0   0
1967   4   76  76  77  77  77   0   0   0   0
1968   4   77  78  79  79  80   0   0   0   0
1969   4   79  79  80  80  79   0   0   0   0
1970   4   79  78  77  76  75   0   0   0   0
1971   4   75  76  77  78  79   0   0   0   0
1972   4   79  80  81  82  83   0   0   0   0
1973   4   82  81  80  79  78   0   0   0   0
1974   4   79  79  80  80  81   0   0   0   0
1975   4   80  81  84  85  86   0   0   0   0
1976   4   86  87  87  86  84   0   0   0   0
1977   4   84  85  85  86  85   0   0   0   0
1978   4   91  91  91  91  91   0   0   0   0
1979   4   89  90  91  90  90   0   0   0   0
1980   4   91  91  91  91  91   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4   88  87  87  88  88   0   0   0   0
1984   4   81  82  83  84  85   0   0   0   0
1985   4   82  81  81  82  82   0   0   0   0
1986   4   82  82  81  80  80   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  102 102 101 100  99   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  109 109 109 108 108   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4   97  97  97  97  96   0   0   0   0
2000   4   89  89  89  90  91  -1  -1   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   92  92  91  91  90   0   0   0   0
2017   4   86  85  85  85  85   0   0   0   0
2018   4   81  82  83  84  85   0   0   0   0
2019   4   74  73  72  71  70   0   0   0   0
